Category,ID,Rule_Text,Flag
VERILOG_FILE_STRUCTURE,10a,"Monolithic RTL modules are prohibited because they are expensive to review, difficult for LLM tools to load and analyze, and more likely to hide interface and state-management bugs. Apply a sliding decomposition rule: simple leaf modules should target <= 600 lines, moderate control/datapath modules should target <= 1000 lines, and only complex wrappers or top-level integration modules may approach 1500-2000 lines. If a module grows beyond the appropriate band for its functional complexity, or if one file combines multiple protocols, multiple state machines, substantial datapath, and large amounts of control logic, it MUST be split into smaller hierarchical modules with single-purpose boundaries even if it has not yet reached 2000 lines.",
VERILOG_FILE_STRUCTURE,11,"Related modules forming a functional unit must share a common prefix in their module names (e.g., 'fifo_sync', 'fifo_async', 'fifo_arbiter' all part of FIFO subsystem).",
VERILOG_FILE_STRUCTURE,12,"If a module has multiple configuration variants or SKUs, document all variants in TOP_HEADER including parameters that select variants and functional differences.",
VERILOG_FILE_STRUCTURE,13,"If module instantiates a parameterized sub-module, document in TOP_HEADER which parameters are passed through and which are fixed, including justification for fixed values.",
VERILOG_FILE_STRUCTURE,14,"Do not include the requirement category name or ID from this rule set in generated Verilog comments; prompt user if they want to add full rule reference (e.g., 'REQUIREMENT CATEGORY.ID') into generated comments for debugging purposes.",
VERILOG_FILE_STRUCTURE,15,"File ownership and revision tracking is managed through version control system (GIT); do not include author name, date, or revision numbers in TOP_HEADER as these require manual maintenance and can become stale."
VERILOG_FILE_STRUCTURE,16,"Each file must have a copyright notice and license information in TOP_HEADER if specified by project requirements; prompt user for copyright holder and license type."
VERILOG_CORE_WRAPPER,1,"When a module uses standard interfaces or requires buffering/elastic storage for timing closure, create a two-level hierarchy: (a) core module named '<module_name>_core.sv' containing functional logic only, (b) wrapper module named '<module_name>_wrapper.sv' containing standard interface adapters, register slices, buffers, repeaters, or elastic storage, and instantiating the core module.",
VERILOG_CORE_WRAPPER,2,"Core modules (_core.sv suffix) must contain only functional logic without pipeline registers added for timing optimization; use simple INTERFACE types (PULSE, DATA, HS2) between core and wrapper to enable efficient formal verification with minimal assumptions.",
VERILOG_CORE_WRAPPER,3,"Wrapper modules (_wrapper.sv suffix) must contain: (a) standard interface protocol logic (AXI, APB, etc.), (b) timing optimization stages (register slices, pipeline buffers), (c) clock domain crossing (CDC) synchronizers, (d) elastic buffers or FIFOs, (e) instantiation of corresponding _core module with simplified interface connections.",
VERILOG_CORE_WRAPPER,4,"Core/wrapper separation rationale must be documented in TOP_HEADER: 'Core module contains functional logic for efficient formal verification; wrapper module adds standard interface compliance and timing optimization which can be separately verified with protocol checkers'.",
VERILOG_CORE_WRAPPER,5,"Formal verification (SVA) for _core modules should focus on functional correctness and algorithmic properties without complexity of elastic storage; formal verification for _wrapper modules should focus on protocol compliance, buffering correctness, and interface timing using standard VIP/checkers.",
VERILOG_CORE_WRAPPER,6,"Signal naming convention between core and wrapper: use simplified names in core (e.g., 'request_valid', 'request_data') and standard protocol names in wrapper (e.g., 'axi_awvalid', 'axi_awaddr'); document signal mapping in wrapper TOP_HEADER.",
VERILOG_CORE_WRAPPER,7,"If module does not require standard interfaces or timing optimization buffers (simple pipeline logic with registered I/O only), core/wrapper separation is not required; create single module with standard naming without _core or _wrapper suffix.",
VERILOG_PORTS_INTERFACES,1,"All interfaces that are part of a common protocol must be grouped together in the port list regardless of port direction (e.g., all AXI signals together, all request/response pairs together, all signals of same INTERFACE type together).",
VERILOG_PORTS_INTERFACES,2,"Port declarations must align vertically using consistent spacing for readability (type, direction, width, and name columns aligned).",
VERILOG_PORTS_INTERFACES,3,"All port declarations must include 'logic' type unless specified otherwise by user requirements.",
VERILOG_PORTS_INTERFACES,4,"All port declarations must include explicit bit widths or associated parameter/localparam reference; single-bit signals should use 'logic' without brackets (not 'logic [0:0]').",
VERILOG_PORTS_INTERFACES,5,"All multi-bit buses must maintain consistent ordering (LSB=0, MSB=width-1) and document the meaning of each bit or field if not contiguous data.",
VERILOG_PORTS_INTERFACES,6,"All interfaces that cross clock domains, reset domains, or power domains must be explicitly commented with domain identification and CDC/isolation strategy.",
VERILOG_PORTS_INTERFACES,7,"Bidirectional ports (inout) should be avoided in synthesizable RTL unless directly specified; use separate input and output ports with tristate control if required by external interface.",
VERILOG_PORTS_INTERFACES,8,"All input ports must be captured in registers within minimal stages (typically 1 stage unless specified otherwise for timing closure or CDC).",
VERILOG_PORTS_INTERFACES,9,"All input ports that are synchronous to the module clock must be captured directly in registers without intervening combinatorial logic.",
VERILOG_PORTS_INTERFACES,10,"All output ports must be driven by register outputs within minimal stages (typically 1 stage unless specified otherwise for timing closure).",
VERILOG_PORTS_INTERFACES,11,"All output ports that are synchronous must be driven directly by register outputs without intervening combinatorial logic (registered outputs only).",
VERILOG_PORTS_INTERFACES,12,"MANDATORY registered-output pattern: compute <signal>_nxt in always_comb, register only <signal>_f <= <signal>_nxt in always_ff, and drive output ports only from <signal>_f using continuous assignment (assign output = <signal>_f) or equivalent direct port connection in instantiation. Do NOT assign output ports directly inside always_ff or always_comb. Place output assign statements in a dedicated section after sequential logic.",
VERILOG_PORTS_INTERFACES,13,"Bus protocols with address and data phases must document address hold requirements and data response timing relative to address phase.",
VERILOG_PORTS_INTERFACES,14,"Burst transfer interfaces must document maximum and minimum burst lengths, burst alignment requirements, and behavior for incomplete bursts.",
VERILOG_PORTS_INTERFACES,15,"Error and exception signaling must be explicit and registered; document error reporting latency and whether errors are sticky or pulse-based.",
VERILOG_PORTS_INTERFACES,16,"Flow control mechanisms must prevent deadlock; document deadlock prevention strategy in TOP_HEADER (e.g., 'Guaranteed forward progress through credit initialization').",
VERILOG_PORTS_INTERFACES,17,"Priority schemes for arbitration of interface contention must be documented: fixed priority, round-robin, weighted round-robin, or other, including starvation prevention.",
VERILOG_PORTS_INTERFACES,18,"Debug and observability ports should be grouped together and clearly marked as debug-only with section comment indicating synthesis implications (area, timing) and documented in a dedicated section of TOP_HEADER.",
VERILOG_PORTS_INTERFACES,19,"Multi-bit control signals that must change atomically should be Gray-coded when crossing clock domains to avoid transient invalid states.",
VERILOG_PORTS_INTERFACES,20,"Port naming must include protocol prefix for standard interfaces (e.g., 'axi_', 's_axi_', 'm_axi_', 'apb_') to clearly identify protocol membership."
VERILOG_PORTS_INTERFACES,21,"Unused ports in standard interfaces must be documented in TOP_HEADER listing which signals are unused and why (e.g., 'ARLOCK unused - no locked transactions supported').",
VERILOG_PARAMETERS,1,"All parameters must be documented with their valid range, default value, and impact on module behavior including resource implications.",
VERILOG_PARAMETERS,2,"All parameters must use 'PARAM_' or 'P_' prefix followed by descriptive name in UPPER_CASE (e.g., 'PARAM_DATA_WIDTH', 'P_FIFO_DEPTH').",
VERILOG_PARAMETERS,3,"All localparams must use 'LOCALPARAM_' or 'LP_' prefix followed by descriptive name in UPPER_CASE (e.g., 'LOCALPARAM_STATE_IDLE', 'LP_ADDR_WIDTH').",
VERILOG_PARAMETERS,4,"All localparams must be declared in a single contiguous block immediately after function declarations with section header comment.",
VERILOG_PARAMETERS,5,"Summarize all localparams in a dedicated section in file TOP_HEADER including name, value, and purpose.",
VERILOG_PARAMETERS,6,"All magic numbers must be replaced with named parameters or localparams with explanatory comments describing their meaning and derivation.",
VERILOG_PARAMETERS,7,"Parameter dependencies and constraints must be documented (e.g., 'PARAM_ADDR_WIDTH must be >= $clog2(PARAM_NUM_ENTRIES)').",
VERILOG_PARAMETERS,8,"Parameters affecting synthesis results significantly (area, timing, power) must be marked in TOP_HEADER with estimated impact.",
VERILOG_FUNCTIONS,1,"All functions must be exhaustively documented with direct comments describing: (a) function purpose, (b) interoperability with other functions and module logic, (c) parameter descriptions with types and ranges, (d) return value meaning and encoding.",
VERILOG_FUNCTIONS,2,"All functions must be declared in a single contiguous block immediately after wire/logic declarations with section header comment.",
VERILOG_FUNCTIONS,3,"All functions must use 'function_' prefix in their name (e.g., 'function_calculate_parity', 'function_is_older', 'function_encode_priority').",
VERILOG_FUNCTIONS,4,"Summarize all functions in a dedicated section in file TOP_HEADER including function name, purpose, inputs, and return value.",
VERILOG_FUNCTIONS,5,"Each function and task must include usage example in comments showing typical calling pattern with realistic values.",
VERILOG_FUNCTIONS,6,"Functions must be pure (no side effects); they should not access or modify module-level state variables."
VERILOG_FUNCTIONS,7,"Recursive functions should be avoided in synthesizable RTL; if required, document maximum recursion depth and synthesis tool support; PROMPT user before implmenting to confirm if it can be supported."
VERILOG_DEAD_CODE,1,"There must be NO dead code in generated Verilog (all signals driven and read, all code paths reachable, zero lint warnings for unused/unreachable elements), with three exceptions: (1) intentionally unused signals must have explanatory comment and use '_nc' suffix OR if part of standard interface that cannot be renamed the signal must be OR-reduced into a signal with '_nc' suffix for lint tool recognition, (2) SKU-off or defeatured code may exist as structured comments with section header tags (DEFEATURED:, REASON:, REMOVED: <date-ticket>, ORIGINAL FUNCTIONALITY:) explaining elimination rationale, (3) code eliminated by global/local parameter or ifdef/ifndef define may exist as structured comments with section tags describing function and PARAM/DEFINE value that eliminates code (include default value if applicable).",
VERILOG_DEAD_CODE,2,"Signals that are read but never written must be documented with clear explanation of expected external driver or initialization value.",
VERILOG_DEAD_CODE,3,"Signals that are written but never read must be reviewed, add string 'REVIEW_UNREAD' is section header for all signals; if intentionally output-only or debug signals, document purpose clearly.",
VERILOG_SVA,1,"SVA must be in a separate file named <module>_sva.sv containing RAW assertions and coverage (NOT a module definition, NOT a bind statement). The SVA file is `include'd at the bottom of the RTL module INSIDE the module...endmodule scope. MANDATORY ifdef protection pattern requires BOTH guards: `ifndef INTEL_SVA_OFF / `ifdef INTEL_SIMONLY / (blank line) / `include ""<module>_sva.sv"" / (blank line) / `endif // INTEL_SIMONLY / `endif // INTEL_SVA_OFF. DO NOT create SVA as a standalone module with bind — use include style only. NEVER create module/endmodule in SVA file.",
VERILOG_SVA,1a,"CORRECT SVA include guard pattern (EXACT format required): `ifndef INTEL_SVA_OFF / `ifdef INTEL_SIMONLY / (blank line) / `include ""foo_sva.sv"" / (blank line) / `endif // INTEL_SIMONLY / `endif // INTEL_SVA_OFF. BOTH guards are MANDATORY - do NOT omit INTEL_SIMONLY. The foo_sva.sv file contains: (1) assertion support logic (wires/regs), (2) named assertions (label: assert ...). NO module/endmodule wrapper in the SVA file - it contains RAW assertions only.",
VERILOG_SVA,1b,"For COMBINATIONAL modules (no clock), SVA must use always_comb immediate assertion style: always_comb begin : LABEL_NAME / assert (condition) else $error(...); / end. Do NOT use @(posedge clk) concurrent assertions in combinational modules. Clock-based coverage for combinational modules should be in a separate testbench file, not the _sva.sv include file.",
VERILOG_SVA,1c,"FORBIDDEN SVA patterns (NEVER use these): (1) module foo_sva(...); ... endmodule (module wrapper), (2) bind foo foo_sva ... (bind statement), (3) covergroup inside _sva.sv for combinational modules. These patterns violate include-style integration.",
VERILOG_SVA,2,"If module has _core/_wrapper separation, each must have corresponding _sva.sv file focusing on appropriate verification scope as documented in core/wrapper rules.",
VERILOG_DOCUMENTATION,1,"All comments must use // style for consistency (avoid /* */ to ensure file is grepable and comment identification is straightforward).",
VERILOG_DOCUMENTATION,2,"Each major code section must have a section header comment explaining its purpose and functionality (e.g., '// Clock domain crossing synchronization', '// Input capture registers', '// Output staging registers').",
VERILOG_DOCUMENTATION,3,"Inline comments must be used sparingly; prefer block comments above code sections to explain intent and functionality.",
VERILOG_DOCUMENTATION,4,"For each clock domain crossing (CDC), document in TOP_HEADER: (a) source domain frequency, (b) destination domain frequency, (c) synchronization method used, (d) data loss/corruption prevention strategy.",
VERILOG_DOCUMENTATION,5,"For protocol implementations, include reference to specification document (name, version, section numbers) in TOP_HEADER and at interface declaration.",
VERILOG_DOCUMENTATION,6,"Complex state machines must include state transition table or ASCII art state diagram in TOP_HEADER showing all states and transition conditions.",
VERILOG_DOCUMENTATION,7,"Resource utilization estimates must be documented in section header for large structures: '// Estimated area: 1024 flip-flops, 512 LUTs, 2 RAM blocks'.",
VERILOG_DOCUMENTATION,8,"For parameterized modules, document must be included in the section header of the impact of parameter values on functionality, not just hardware resources (e.g., '// PARAM_MODE=0: Round-robin arbitration, PARAM_MODE=1: Priority-based arbitration').",
VERILOG_DOCUMENTATION,9,"Timing-critical interfaces must include ASCII timing diagrams in section header showing signal relationships across multiple clock cycles with annotations for setup/hold requirements.",
VERILOG_DOCUMENTATION,10,"Performance-critical sections must document in section header: expected throughput, latency, and bandwidth with units (e.g., '// Throughput: 1 transaction per cycle', '// Latency: 5 cycles from request to response').",
VERILOG_DOCUMENTATION,11,"All timing-critical paths should be documented in comment indicating frequency targets, latency requirements, or setup/hold margin notes.",
VERILOG_DOCUMENTATION,12,"Complex expressions must include explanatory comments describing the operation, inputs, and result in comment (e.g., '// Calculate next timestamp using wraparound-safe arithmetic', '// Priority encoder for oldest valid entry').",
VERILOG_DOCUMENTATION,13,"All known limitations or restrictions must be documented with 'LIMITATION:' tag in comment (e.g., '// LIMITATION: Maximum burst length is 16 beats due to counter width').",
VERILOG_DOCUMENTATION,14,"Critical sections that could cause protocol violations if modified must include 'CRITICAL:' tag with explanation of consequences in comment (e.g., '// CRITICAL: Removing this delay causes HS4 protocol violation in phase 3').",
VERILOG_DOCUMENTATION,15,"Dependencies on specific synthesis tool features or vendor libraries must be documented with 'TOOL_DEPENDENCY:' tag in comment and include version requirements.",
VERILOG_DOCUMENTATION,16,"Any deviation from standard coding practices must be documented with a comment explaining the rationale and justification.",
VERILOG_DOCUMENTATION,17,"TODO items that require follow-up must use standardized format in comment: '// TODO[priority]: description (owner, date)' where priority is HIGH/MED/LOW.",
VERILOG_DOCUMENTATION,18,"Summarize all used `define macros in a dedicated section in file TOP_HEADER including: (a) define name, (b) summary of design impact when define is set, (c) summary of design impact when define is not set, (d) default state.",
VERILOG_DOCUMENTATION,19,"Algorithm descriptions for complex operations must be included in TOP_HEADER or section comments, explaining the approach and any optimization techniques used.",
VERILOG_DOCUMENTATION,20,"Assumptions about input behavior or external environment must be explicitly documented in TOP_HEADER (e.g., '// ASSUMPTION: Input valid never asserted for more than 16 consecutive cycles').",
VERILOG_NAMING,1,"All Verilog/SystemVerilog identifiers—including ports (input/output/inout/ref), nets and variables (wire/logic/reg/bit/byte/int/integer), parameters (parameter/localparam), types (typedef/struct/union/enum), modules, interfaces, functions, tasks, packages, generate blocks, always/initial block labels, classes, instances, and preprocessor macros—must have descriptive meaningful names that clearly indicate their purpose, avoiding single-letter names (except standard loop counters i/j/k), generic names (data/temp/signal), and cryptic abbreviations; do not use short names in place of descriptive self-documenting names.",
VERILOG_NAMING,2,"All Verilog/SystemVerilog identifiers must be uniquely distinguishable such that no identifier name is a substring of another identifier name, ensuring grep searches return exact matches without false positives from partial name overlaps.",
VERILOG_NAMING,3,"All identifiers must be space-delimited or separated by appropriate Verilog operators/punctuation (commas, semicolons, parentheses, brackets, braces, assignment operators, equals, carets, plus, minus, star, divide, percent, exclamation point, tilde) to ensure they can be matched as distinct tokens using word-boundary grep searches.",
VERILOG_NAMING,4,"Identifier naming must use snake_case (lowercase with underscores) for signals, variables, and instances; UPPER_CASE for parameters and constants; module names should use snake_case for consistency.",
VERILOG_NAMING,5,"Boolean/enable signals should use positive logic naming (e.g., 'enable', 'valid', 'ready') unless active-low, in which case append '_n' or '_b' suffix based on project specification (prompt user to confirm if needed).",
VERILOG_NAMING,6,"Signal names indicating direction or timing must use suffixes: no suffix for input signals captured in registers, '_nxt' suffix for next-state combinatorial signals, '_f' suffix for registered/flopped signals.",
VERILOG_NAMING,7,"Temporary variables in functions should use descriptive names prefixed with 'temp_' or similar scope indicator to distinguish from module-level signals.",
VERILOG_NAMING,8,"All inferred registers must use 'reg_' prefix in signal name (e.g., reg_counter_f, reg_counter_nxt, reg_state_idle_f, reg_state_idle_nxt).",
VERILOG_NAMING,9,"State machine state registers must use 'fsm_' prefix or 'state_' prefix followed by descriptive FSM name (e.g., fsm_main_idle_f, fsm_main_active_f, state_control_idle_f).",
VERILOG_NAMING,10,"State machines must use enumerated types (enum) with descriptive state names prefixed by FSM name or module name (e.g., FSM_IDLE, FSM_WAIT_ACK, FSM_ACTIVE, CTRL_IDLE).",
VERILOG_NAMING,11,"Generate blocks, if used, must have descriptive labels and use 'gen_' prefix (e.g., gen_fifo_instances, gen_parity_bits, gen_register_array).",
VERILOG_NAMING,12,"Any sub-module created must have a name with prefix that is the full name of the parent module, followed by underscore and suffix clearly describing its purpose (e.g., parent 'cache_controller' creates child 'cache_controller_arbiter', 'cache_controller_tag_array').",
VERILOG_NAMING,13,"All instantiated sub-modules must use 'i_' prefix, followed by module type name, then optional suffix describing specific usage, with incrementing index if multiple instances exist (e.g., 'i_fifo_request_0', 'i_fifo_request_1', 'i_arbiter').",
VERILOG_NAMING,14,"All `define macros must use a unique project-specific prefix to prevent namespace collisions (e.g., 'PROJECT_' or specific project code, prompt user for project prefix if not defined).",
VERILOG_NAMING,15,"Clock signal naming must use '_clk' or 'clk_' convention with descriptive domain identifier (e.g., 'core_clk', 'axi_clk', 'clk_ref').",
VERILOG_NAMING,16,"Reset signal naming must use '_rst' or '_rst_n' or 'rst_' convention; active-low resets must always use '_n' suffix (e.g., 'rst_n', 'core_rst_n', 'async_rst_n').",
VERILOG_NAMING,17,"Counter variables must use descriptive names indicating what is being counted (e.g., 'transaction_count', 'cycle_counter', 'burst_beat_count') rather than generic 'counter' or 'cnt'.",
VERILOG_NAMING,18,"Pointer or index variables must use descriptive names indicating what they point to (e.g., 'read_pointer', 'write_index', 'head_ptr') rather than generic 'ptr' or 'idx'.",
VERILOG_SYNC,1,"When instantiating hac_common_data_sync.sv, the signal connected to input port 'd' SHOULD use a '_presync' suffix so the unsynchronized source is explicit. The signal connected to output port 'q' MUST reuse the same base signal name as the 'd' signal and append '_sync' (for example, 'data_presync' -> 'data_sync'). Do not rename the synchronized output to an unrelated identifier; the naming must make the pre-sync to post-sync relationship obvious in code review and grep-based tracing.",
VERILOG_SYNC,2,"When instantiating hac_common_reset_sync.sv, the signal connected to input port 'rst_src' MUST be named '<reset_name>_async_rst_n' so the asynchronous source reset is explicit. The signal connected to output port 'rst_sync' MUST be named '<reset_name>_<clk_signal_name>_rst_n', where '<clk_signal_name>' is the exact signal name wired to the synchronizer 'clk' port, so the destination reset domain is explicit (for example, 'core_async_rst_n' -> 'core_fabric_clk_rst_n'). Do not collapse or shorten this naming; reset synchronizer names must preserve both reset identity and destination clock-domain identity.",
VERILOG_STYLE,1,"Indentation must be consistent: use 4 spaces per indentation level (no tabs allowed).",
VERILOG_STYLE,2,"Each begin/end block must have consistent indentation with 'begin' on same line as control statement and 'end' dedented to match the control statement level.",
VERILOG_STYLE,3,"All Verilog operators/punctuation (commas, semicolons, parentheses, brackets, braces, assignment operators, equals, carets, plus, minus, star, divide, percent, exclamation point, tilde) must be space-delimited for readability and consistency.",
VERILOG_STYLE,4,"DO NOT use net types wor, wand, tri, or trireg unless explicitly specified by user requirements.",
VERILOG_STYLE,5,"All constant integer variables used in for-loops must be declared as 'integer i', 'integer j', 'integer k' and are the only permitted single-letter identifiers.",
VERILOG_STYLE,6,"Do not use initial blocks in synthesizable RTL unless explicitly specified (initial blocks are permitted in testbenches only).",
VERILOG_STYLE,7,"All signal declarations must include explicit bit widths or associated parameter/localparam reference; single-bit signals should use 'logic' without brackets (not 'logic [0:0]').",
VERILOG_STYLE,8,"Multi-bit signals must use descending bit order: [MSB:0] format (e.g., [7:0], [31:0], [PARAM_WIDTH-1:0]).",
VERILOG_STYLE,9,"At least one clock must be specified and follow INTERFACE_CLK rules; prompt user if no clock is specified in requirements.",
VERILOG_STYLE,10,"At least one reset must be specified and follow INTERFACE_RESET rules; prompt user if no reset is specified in requirements.",
VERILOG_STYLE,11,"All wire and logic declarations must be grouped in a single contiguous block immediately after port declarations, organized by: (a) input capture registers, (b) internal state and logic signals, (c) output staging registers. Include section comments for each group.",
VERILOG_ALWAYS_BLOCKS,1,"There must be one always_comb block per discrete module function to improve human readability and maintainability; include detailed comment at beginning of each always_comb indicating the function and interoperability with other logic or always_comb blocks in the module.",
VERILOG_ALWAYS_BLOCKS,2,"There must be exactly one always_ff block per module for each clock and reset pair used to create all inferred registers (single register update block for entire module).",
VERILOG_ALWAYS_BLOCKS,2a,"Each clock reset pair MUST have exactly one always_ff block per module if there is start that must be inferred."
VERILOG_ALWAYS_BLOCKS,3,"There can be no combinatorial logic in the always_ff block (only non-blocking assignments to registers from their _nxt signals).",
VERILOG_ALWAYS_BLOCKS,4,"All inferred registers must use non-blocking assignments (<=) in always_ff block, using convention <register>_f for current value and <register>_nxt for next value. When declaring logic for these signals do so on one line for efficiency (e.g., logic [255:0] entry_valid_f, entry_valid_nxt;).",
VERILOG_ALWAYS_BLOCKS,5,"All _nxt signals must be assigned exclusively in always_comb blocks; never assign _nxt signals in always_ff or in multiple different always_comb blocks.",
VERILOG_ALWAYS_BLOCKS,6,"Avoid assignments to the same signal in multiple always_comb blocks (violates single driver rule and is LINT violation); each signal should have exactly one combinatorial driver.",
VERILOG_ALWAYS_BLOCKS,7,"Labels on generate blocks, always blocks, and initial blocks improve debuggability and must be used for complex modules: 'always_ff @(posedge clk) begin : register_update_logic'.",
VERILOG_ALWAYS_BLOCKS,8,"Always_comb blocks must have complete sensitivity (all inputs listed implicitly); never use explicit sensitivity list with always_comb.",
VERILOG_ALWAYS_BLOCKS,9,"Always_ff blocks must use explicit clock edge in sensitivity list: '@(posedge clk)' or '@(negedge clk)'; never use '@(clk)' without edge specification.",
VERILOG_RESET,1,"All inferred registers MUST be reset; default is to reset all registers to zero on input rst_n unless specified otherwise by user requirements.",
VERILOG_RESET,2,"Reset logic must be handled in the always_comb block by checking rst_n and assigning appropriate _nxt signal values; the always_ff block performs only register updates without reset logic.",
VERILOG_RESET,3,"Group initialization of all _nxt signals to current _f flop output at the top of the always_comb block with a block comment indicating all register inputs are initialized to current output (prevents inferred latches).",
VERILOG_RESET,4,"Reset values must be explicitly specified for all control registers; document in comment why each reset value was chosen.",
VERILOG_RESET,5,"For large register arrays, document reset strategy: whether all entries reset or only pointers/counters; justify non-reset registers if applicable and docuement in section header with tag 'NONRESET_STATE'.",
VERILOG_FSM,1,"State machines must use one-hot encoding with dedicated register bit indicating each state; no binary-encoded states (use one-hot for clarity and ease of debug).",
VERILOG_FSM,2,"All case statements must include a default case, even if all enumerated cases are explicitly covered (prevents synthesis mismatches and inferred latches).",
VERILOG_FSM,3,"NEVER Use SystemVerilog 'unique case' and 'priority case' in verilog modules.",
VERILOG_FSM,4,"Disable use of 'casex' and 'casez' in synthesizable RTL; use explicit masking with 'case' statement and bitwise operations for clarity.",
VERILOG_FSM,5,"FSM state transitions must be clearly documented with comment before each transition showing: current_state -> next_state [condition].",
VERILOG_FSM,6,"FSM must include illegal state detection and recovery logic; document recovery strategy (reset, safe state, error reporting).",
VERILOG_FSM,7,"FSM state type must be declared as a typedef enum with explicit one-hot encoding using the project format: 'typedef enum logic [(N)-1:0] { PREFIX_FSM_STATE_A = N'hX, PREFIX_FSM_STATE_B = N'hY, ... } prefix_fsm_t;' where N is the number of states, each value is one-hot, and enum names use uppercase with a consistent module prefix (e.g., HAC_IFT_FSM_IDLE). The FSM always_comb block must use 'case (fsm_state_f)' with named enum values — never 'case (1''b1)' with bit indexing.",
VERILOG_COMBINATORIAL,1,"Blocking assignments (=) must never be used for signals that persist across clock cycles; use only for temporary variables within combinatorial blocks.",
VERILOG_COMBINATORIAL,2,"Latch inference is almost always unintentional; all combinatorial always_comb/always@(*) blocks must assign all outputs in all branches to prevent latch inference.",
VERILOG_COMBINATORIAL,3,"Use SystemVerilog always_comb for combinatorial logic to enable additional compile-time checks; avoid always@(*) style.",
VERILOG_COMBINATORIAL,4,"Default case statements: always include a 'default' branch in every case statement; do NOT rely on 'unique' or 'priority' keywords as substitutes for an explicit default (see VERILOG_FSM,3); missing default cases can cause latch inference or X propagation.",
VERILOG_COMBINATORIAL,5,"X-propagation: ensure combinatorial logic propagates X values correctly for simulation; avoid structures that mask X values hiding initialization issues.",
VERILOG_COMBINATORIAL,6,"Avoid using the ternary operator (? :) in complex nested expressions; use if/else in always_comb for clarity when more than two levels of nesting required.",
VERILOG_COMBINATORIAL,7,"For wide muxes (>8 inputs), use explicit priority or one-hot select encoding and document the selection method with comment.",
VERILOG_COMBINATORIAL,8,"Combinatorial loops must be avoided; if feedback required, use registered feedback path.",
VERILOG_OPERATORS,1,"Bit-select and part-select operations must use named parameters for indices when accessing structured data (e.g., 'data[PARAM_ADDR_MSB:PARAM_ADDR_LSB]' not 'data[31:16]').",
VERILOG_OPERATORS,2,"When extracting bit fields from packed structures, define localparam for bit positions rather than using magic numbers (e.g., LP_FIELD_START, LP_FIELD_END).",
VERILOG_OPERATORS,3,"Cast operations must be explicit and commented: '// Cast to signed for arithmetic operation' before '($signed(value))'.",
VERILOG_OPERATORS,4,"Shift operations must document whether arithmetic or logical shift intended and handle edge cases (shift by zero, shift by more than width).",
